title,year,release_date_imdb,rating_imdb
what about bob,1991,1991-05-15,7.0
aladdin,1992,1992-11-08,8.0
alien3,1992,1992-05-19,6.4
basic instinct,1992,1992-03-18,7.0
batman returns,1992,1992-06-16,7.1
bodyguard,1992,1992-11-25,6.3
braindead,1992,1992-06-04,7.5
bram stokers dracula,1992,1992-11-10,7.4
candyman,1992,1992-09-11,6.7
chaplin,,,7.5
death becomes her,1992,1992-07-13,6.6
far and away,1992,1992-05-18,6.6
few good men,1992,1992-12-02,7.7
glengarry glen ross,1992,1992-08-30,7.7
home alone 2 lost in new york,1992,1992-11-15,6.8
lat sau san taam,1992,1992-03-21,7.7
last of the mohicans,,,7.7
league of their own,1992,1992-07-01,7.3
lethal weapon 3,1992,1992-05-11,6.7
malcolm x,1992,1992-11-17,7.7
mariachi,,,6.8
mighty ducks,1992,1992-09-20,6.5
muppet christmas carol,1992,1992-12-06,7.7
my cousin vinny,1992,1992-03-13,7.6
passenger 57,1992,1992-11-05,5.9
patriot games,1992,1992-06-05,6.8
player,1992,1992-04-03,7.5
reservoir dogs,1992,1992-01-21,8.3
river runs through it,1992,1992-09-13,7.2
scent of a woman,1992,1992-12-23,8.0
sister act,1992,1992-05-29,6.5
sneakers,1992,1992-09-09,7.1
twin peaks fire walk with me,,,7.3
under siege,,,6.5
unforgiven,,,8.2
universal soldier,,,6.1
waynes world,1992,1992-02-14,7.0
addams family values,1993,1993-11-19,6.8
age of innocence,,,7.2
alive,1993,1993-01-15,7.1
army of darkness,1992,1992-10-09,7.4
batman mask of the phantasm,1993,1993-12-25,7.8
bronx tale,1993,1993-09-09,7.8
carlitos way,1993,1993-11-07,7.9
cliffhanger,,,6.5
coneheads,1993,1993-07-23,5.4
cool runnings,1993,1993-10-01,7.0
dave,,,6.9
dazed and confused,1993,1993-06-04,7.6
demolition man,1993,1993-10-07,6.7
falling down,,,7.6
firm,1993,1993-06-23,6.9
free willy,1993,1993-07-16,6.0
fugitive,1993,1993-07-29,7.8
groundhog day,,,8.0
hard target,1993,1993-08-20,6.2
hocus pocus,1993,1993-07-10,6.9
hot shots part deux,1993,1993-05-21,6.6
in the line of fire,1993,1993-07-08,7.2
in the name of the father,1993,1993-12-12,8.1
indecent proposal,1993,1993-04-06,6.0
jurassic park,1993,1993-06-09,8.2
kalifornia,,,6.7
last action hero,1993,1993-06-13,6.5
menace ii society,1993,1993-05-26,7.5
mrs doubtfire,1993,1993-11-22,7.1
much ado about nothing,1993,1993-05-06,7.3
loaded weapon 1,1993,1993-02-05,6.2
nightmare before christmas,1993,1993-10-09,7.9
pelican brief,,,6.6
perfect world,1993,1993-11-24,7.5
philadelphia,1993,1993-12-14,7.7
piano,1993,1993-05-15,7.5
remains of the day,1993,1993-10-25,7.8
robin hood men in tights,1993,1993-07-28,6.7
robocop 3,1993,1993-05-01,4.1
sandlot,1993,1993-04-07,7.8
schindlers list,1993,1993-11-30,9.0
sister act 2 back in the habit,1993,1993-12-10,5.7
sleepless in seattle,1993,1993-06-25,6.8
super mario bros,1993,1993-05-28,4.1
three musketeers,1993,1993-11-12,6.4
tombstone,1993,1993-12-25,7.8
true romance,1993,1993-09-08,7.9
waynes world 2,1993,1993-12-10,6.2
whats eating gilbert grape,,,7.7
