title,year,release_date_imdb,rating_imdb
da vinci code,2006,2006-05-17,6.6
dark water,2005,2005-06-27,5.6
ratatouille,2007,2007-06-22,8.1
stealth,2005,2005-07-17,5.1
synecdoche new york,2008,2008-05-23,7.5
pink panther,2006,2006-01-19,5.7
pirates of the caribbean dead mans chest,2006,2006-06-24,7.4
gora,2004,2004-11-12,8.0
silent hill,2006,2006-04-20,6.5
weather man,2005,2005-10-20,6.6
accepted,2006,2006-08-18,6.4
amityville horror,2005,2005-04-07,5.9
in good company,2004,2004-12-06,6.5
miss congeniality 2 armed fabulous,2005,2005-03-11,5.1
golden compass,2007,2007-11-27,6.1
monster house,2006,2006-06-15,6.6
motherless brooklyn,2019,2019-08-30,6.8
sicko,2007,2007-05-19,8.0
where the wild things are,2009,2009-10-13,6.7
legend of zorro,2005,2005-10-24,5.9
hitch,2005,2005-02-10,6.6
constant gardener,2005,2005-07-31,7.4
saw,2004,2004-01-19,7.6
idiocracy,2006,2006-09-01,6.5
black dahlia,2006,2006-08-09,5.6
christmas with the kranks,2004,2004-11-15,5.4
transporter 2,2005,2005-08-03,6.3
brokeback mountain,2005,2005-09-02,7.7
zwartboek,2006,2006-09-01,7.7
30 days of night,2007,2007-10-16,6.6
bee movie,2007,2007-10-28,6.1
click,2006,2006-06-14,6.4
friday night lights,2004,2004-10-06,7.2
primer,2004,2004-01-16,6.7
super size me,2004,2004-01-17,7.2
grudge,2004,2004-10-12,5.9
lot like love,2005,2005-04-21,6.6
brick,,,7.2
coach carter,2005,2005-01-13,7.3
hotel rwanda,2004,2004-09-11,8.1
devils rejects,2005,2005-07-22,6.7
pacifier,2005,2005-03-01,5.6
perfume the story of a murderer,2006,2006-09-07,7.5
wedding crashers,2005,2005-07-13,7.0
meet the robinsons,2007,2007-03-23,6.8
nanny mcphee,2005,2005-10-21,6.6
house of wax,2005,2005-04-26,5.5
just my luck,2006,2006-05-09,5.4
skeleton key,2005,2005-07-29,6.5
eight below,2006,2006-02-17,7.3
memoirs of a geisha,2005,2005-11-29,7.3
bolt,2008,2008-11-17,6.8
derailed,2005,2005-11-11,6.6
longest yard,2005,2005-05-19,6.4
tangled,2010,2010-11-24,7.7
rumor has it,2005,2005-12-22,5.5
assault on precinct 13,2005,2005-01-19,6.3
bridge to terabithia,2007,2007-02-15,7.2
history of violence,2005,2005-05-16,7.4
island,2005,2005-07-11,6.8
lord of war,2005,2005-09-16,7.6
herbie fully loaded,2005,2005-06-19,4.9
open season,2006,2006-09-27,6.1
good year,2006,2006-09-09,6.9
paris je taime,2006,2006-05-18,7.2
john carter,2012,2012-02-22,6.6
sin city,2005,2005-03-28,8.0
underworld evolution,2006,2006-01-12,6.7
on flux,2005,2005-12-01,5.4
new world,2005,2005-12-25,6.7
chaos,2005,2005-12-15,6.4
nochnoy dozor,2004,2004-06-27,6.4
sisterhood of the traveling pants,2005,2005-05-31,6.5
youth in revolt,2009,2009-09-11,6.4
everything is illuminated,2005,2005-09-03,7.4
exorcism of emily rose,2005,2005-09-01,6.7
little children,2006,2006-09-01,7.5
running scared,2006,2006-01-06,7.3
leben der anderen,2006,2006-03-15,8.4
million dollar baby,2004,2004-12-05,8.1
scanner darkly,2006,2006-05-25,7.0
sky high,2005,2005-07-24,6.3
40 year old virgin,2005,2005-08-11,7.1
zathura a space adventure,2005,2005-06-10,6.2
eye,2008,2008-01-31,5.4
guardian,2006,2006-09-28,6.9
war of the worlds,2005,2005-06-13,6.5
departed,2006,2006-09-26,8.5
sweeney todd the demon barber of fleet street,2007,2007-12-03,7.3
munich,2005,2005-12-23,7.5
firewall,2006,2006-02-02,5.8
flightplan,2005,2005-09-22,6.3
heartbreak kid,2007,2007-09-27,5.8
poseidon,2006,2006-05-10,5.7
watchmen,2009,2009-02-23,7.6
cowboys aliens,2011,2011-07-29,6.0
lake house,2006,2006-06-16,6.8
88 minutes,2007,2007-02-14,5.9
hellboy ii the golden army,2008,2008-06-28,7.0
broken flowers,2005,2005-05-17,7.1
worlds fastest indian,2005,2005-09-10,7.8
evan almighty,2007,2007-06-21,5.4
shrek the third,2007,2007-05-06,6.1
spiderman 3,2007,2007-04-03,6.3
elizabeth the golden age,2007,2007-09-09,6.8
pride prejudice,2005,2005-07-25,7.8
final destination 3,2006,2006-02-02,5.8
fountain,2006,2006-09-04,7.2
talladega nights the ballad of ricky bobby,2006,2006-07-26,6.6
spiderwick chronicles,2008,2008-01-31,6.5
wolf creek,,,6.2
match point,2005,2005-05-12,7.6
300,2006,2006-12-09,7.6
becoming jane,2007,2007-03-02,7.0
snakes on a plane,2006,2006-08-17,5.5
harry potter and the halfblood prince,2009,2009-07-06,7.6
transformers,2007,2007-06-12,7.0
flags of our fathers,2006,2006-10-09,7.1
jarhead,2005,2005-10-27,7.0
land of the dead,2005,2005-06-18,6.2
doom,2005,2005-10-20,5.2
kite runner,,,7.6
stranger than fiction,2006,2006-09-09,7.5
texas chainsaw massacre the beginning,2006,2006-10-05,5.8
veerzaara,2004,2004-11-12,7.8
domino,2005,2005-09-25,5.9
street kings,2008,2008-04-03,6.8
gridiron gang,2006,2006-09-05,7.0
proposition,2005,2005-09-12,7.3
red eye,2005,2005-06-10,6.5
curious case of benjamin button,2008,2008-12-10,7.8
marie antoinette,2006,2006-05-24,6.5
surfs up,2007,2007-06-02,6.7
binjip,2004,2004-09-07,7.9
charlie bartlett,2007,2007-05-01,6.9
flushed away,2006,2006-10-22,6.6
hard candy,,,7.0
clerks ii,2006,2006-05-26,7.3
get smart,2008,2008-06-19,6.5
just like heaven,2005,2005-09-16,6.7
lucky number slevin,2006,2006-02-24,7.7
run fatboy run,2007,2007-09-07,6.5
superhero movie,2008,2008-03-27,4.6
august rush,,,7.4
dinner for schmucks,2010,2010-07-19,5.9
failure to launch,2006,2006-03-10,5.6
great debaters,2007,2007-12-11,7.5
hairspray,2007,2007-07-10,6.7
invasion,2007,2007-08-17,5.9
lookout,,,7.0
thank you for smoking,2005,2005-09-09,7.5
marche de lempereur,,,7.5
ateam,2010,2010-06-03,6.7
four brothers,2005,2005-07-01,6.8
little man,2006,2006-07-13,4.5
miami vice,2006,2006-07-20,6.0
role models,2008,2008-10-19,6.8
possession,2012,2012-08-30,5.9
kingdom,2007,2007-08-22,7.0
ps i love you,2007,2007-12-20,7.0
resident evil extinction,2007,2007-09-20,6.2
fantastic mr fox,2009,2009-10-14,7.9
saw ii,2005,2005-10-28,6.6
real steel,2011,2011-09-06,7.1
daybreakers,2009,2009-09-11,6.4
good night and good luck,2005,2005-09-01,7.4
grudge 2,2006,2006-10-12,5.0
harsh times,2005,2005-05-05,6.8
v for vendetta,2005,2005-12-11,8.2
giver,2014,2014-08-11,6.4
next,2007,2007-04-25,6.2
toy story 3,2010,2010-06-12,8.3
alita battle angel,2019,2019-01-31,7.3
benchwarmers,2006,2006-04-07,5.5
ice age the meltdown,2006,2006-03-29,6.8
terminator salvation,2009,2009-05-14,6.5
flash,2023,2023-06-14,6.7
slither,2006,2006-03-31,6.5
bourne ultimatum,2007,2007-07-25,8.0
kung fu panda,2008,2008-05-15,7.6
beowulf,2007,2007-11-05,6.3
lincoln,2012,2012-10-08,7.3
vantage point,2008,2008-02-13,6.6
borat cultural learnings of america for make benefit glorious nation of kazakhstan,2006,2006-08-04,7.4
dreamgirls,2006,2006-05-19,6.6
hoodwinked,2005,2005-12-16,6.5
illusionist,2006,2006-01-22,7.5
sentinel,2006,2006-04-19,6.1
10000 bc,2008,2008-02-22,5.1
assassination of jesse james by the coward robert ford,2007,2007-09-02,7.5
x files i want to believe,2008,2008-07-24,5.9
zodiac,2007,2007-02-28,7.7
across the universe,2007,2007-09-09,7.3
blades of glory,2007,2007-03-30,6.3
invincible,2006,2006-08-25,7.0
scott pilgrim vs the world,2010,2010-07-27,7.5
painted veil,2006,2006-12-13,7.4
knowing,2009,2009-03-09,6.2
shazam,2019,2019-03-25,7.0
hancock,2008,2008-06-16,6.4
puss in boots,2011,2011-10-23,6.6
eragon,2006,2006-12-11,5.1
little miss sunshine,2006,2006-01-20,7.8
pirates of the caribbean at worlds end,2007,2007-05-19,7.1
rv,2006,2006-04-28,5.6
babel,2006,2006-05-23,7.5
mome,2007,2007-02-08,7.6
16 blocks,2006,2006-02-27,6.6
blood diamond,2006,2006-12-06,8.0
hostel,2005,2005-09-17,5.9
punisher war zone,2008,2008-12-04,5.9
wicker man,2006,2006-08-31,3.8
1408,2007,2007-06-12,6.8
horton hears a who,2008,2008-03-03,6.8
wonder woman,2017,2017-05-15,7.4
breakup,2006,2006-05-22,5.8
cheaper by the dozen 2,2005,2005-12-21,5.5
death race,2008,2008-08-21,6.4
gone baby gone,2007,2007-09-05,7.6
good luck chuck,2007,2007-06-13,5.6
lady in the water,2006,2006-07-17,5.5
time travelers wife,2009,2009-08-14,7.1
vacancy,2007,2007-04-20,6.2
mr beans holiday,2007,2007-03-22,6.4
deja vu,2006,2006-11-20,7.1
tmnt,2007,2007-03-22,6.2
42,2013,2013-04-09,7.5
hills have eyes,2006,2006-03-10,6.4
inside man,2006,2006-03-16,7.6
life of pi,2012,2012-09-28,7.9
pursuit of happyness,2006,2006-12-15,8.0
shes the man,2006,2006-03-08,6.4
crazies,2010,2010-02-23,6.5
how to lose friends alienate people,2008,2008-10-03,6.4
last king of scotland,2006,2006-09-01,7.6
dead silence,2007,2007-03-16,6.1
australia,2008,2008-11-18,6.6
equalizer,2014,2014-09-07,7.2
john tucker must die,2006,2006-07-25,5.7
land of the lost,2009,2009-06-05,5.3
laberinto del fauno,2006,2006-05-27,8.2
perfect stranger,2007,2007-04-10,5.7
nacho libre,,,5.9
scoop,2006,2006-07-26,6.6
holiday,2006,2006-11-29,6.9
captain america the first avenger,2011,2011-07-19,6.9
devil wears prada,2006,2006-06-19,6.9
sin city a dame to kill for,2014,2014-08-19,6.5
xmen origins wolverine,2009,2009-04-08,6.5
in the name of the king a dungeon siege tale,2007,2007-04-11,3.8
fall,2006,2006-09-09,7.8
enchanted,2007,2007-10-20,7.1
black snake moan,2006,2006-12-09,6.9
grindhouse,2007,2007-03-26,7.5
outlander,2008,2008-07-11,6.2
rambo,2008,2008-01-23,7.0
rescue dawn,2006,2006-09-09,7.3
simpsons movie,2007,2007-07-21,7.3
step up,2006,2006-08-07,6.5
you me and dupree,2006,2006-07-13,5.6
28 weeks later,2007,2007-04-26,6.9
fast and the furious tokyo drift,2006,2006-06-04,6.0
freedom writers,2007,2007-01-05,7.6
piranha 3d,2010,2010-08-20,5.5
national treasure book of secrets,2007,2007-12-13,6.5
hitman,2007,2007-11-21,6.2
michael clayton,2007,2007-08-31,7.2
notes on a scandal,2006,2006-12-25,7.4
push,2009,2009-01-29,6.1
shoot em up,2007,2007-07-26,6.6
my super exgirlfriend,2006,2006-07-20,5.2
date movie,2006,2006-02-17,2.8
omen,2006,2006-06-06,5.5
max payne,2008,2008-10-13,5.3
other boleyn girl,2008,2008-02-15,6.7
juno,2007,2007-09-01,7.5
half nelson,2006,2006-01-23,7.1
dark knight,2008,2008-07-14,9.0
there will be blood,2007,2007-09-27,8.2
world trade center,2006,2006-08-09,6.0
ex machina,2014,2014-12-16,7.7
tower heist,2011,2011-10-24,6.2
9,2009,2009-08-19,7.0
apocalypto,2006,2006-12-08,7.8
charlie wilsons war,2007,2007-12-10,7.0
penelope,2006,2006-09-08,6.7
smurfs,2011,2011-07-24,5.4
mechanic,2011,2011-01-13,6.5
prince of persia the sands of time,2010,2010-05-09,6.6
state of play,2009,2009-04-17,7.1
united 93,2006,2006-04-25,7.6
hail caesar,2016,2016-02-01,6.3
smokin aces,2006,2006-12-09,6.6
covenant,2006,2006-09-07,5.2
brave one,2007,2007-09-06,6.7
norbit,2007,2007-02-09,4.2
premonition,2007,2007-03-12,5.9
unstoppable,2010,2010-10-26,6.8
wristcutters a love story,2006,2006-01-24,7.2
extremely loud incredibly close,2011,2011-12-15,6.9
night at the museum,2006,2006-12-17,6.5
no country for old men,2007,2007-05-19,8.2
21,2008,2008-03-07,6.8
tree of life,2011,2011-05-16,6.8
knocked up,2007,2007-03-12,6.9
antman,2015,2015-06-29,7.3
rocky balboa,2006,2006-12-13,7.1
crank,2006,2006-08-31,6.9
madagascar escape 2 africa,2008,2008-10-30,6.6
season of the witch,2011,2011-01-04,5.4
dan in real life,2007,2007-10-26,6.8
i am legend,2007,2007-12-05,7.2
losers,2010,2010-04-20,6.2
cronocrimenes,2007,2007-09-20,7.1
hall pass,2011,2011-02-23,5.9
no reservations,2007,2007-07-25,6.3
number 23,2007,2007-02-13,6.4
croods,2013,2013-02-15,7.2
harold kumar escape from guantanamo bay,2008,2008-04-24,6.5
prestige,2006,2006-10-17,8.5
pride and glory,2008,2008-09-09,6.6
strangers,2008,2008-05-29,6.1
doomsday,2008,2008-03-14,5.9
mr nobody,2009,2009-09-11,7.7
beerfest,2006,2006-08-25,6.2
4 rise of the silver surfer,2007,2007-06-12,5.6
stardust,2007,2007-07-29,7.6
disturbia,2007,2007-04-04,6.8
fanboys,2009,2009-02-06,6.5
jumper,2008,2008-02-06,6.1
nanny diaries,2007,2007-08-24,6.2
saw iii,2006,2006-10-26,6.2
reign over me,2007,2007-03-20,7.4
silence,2016,2016-11-29,7.2
something borrowed,,,5.8
haunting in connecticut,2009,2009-03-27,5.8
game plan,2007,2007-09-23,6.4
chips,2017,2017-03-23,6.0
jackass number two,2006,2006-09-21,7.0
wanted,2008,2008-06-12,6.7
inkheart,2008,2008-12-11,6.1
oceans thirteen,2007,2007-05-24,6.9
inconvenient truth,2006,2006-01-24,7.4
vicky cristina barcelona,2008,2008-05-17,7.1
hostel part ii,,,5.5
letters from iwo jima,2006,2006-11-15,7.8
we own the night,2007,2007-05-25,6.8
chronicles of narnia prince caspian,2008,2008-05-09,6.5
avatar,2009,2009-12-10,7.9
war,2007,2007-08-24,6.2
man from earth,2007,2007-06-10,7.8
avpr aliens vs predator requiem,2007,2007-12-25,4.6
friday the 13th,2009,2009-02-09,5.5
love other drugs,2010,2010-11-04,6.7
into the wild,2007,2007-09-01,8.1
music and lyrics,2007,2007-02-09,6.5
body of lies,2008,2008-10-05,7.0
we are marshall,2006,2006-12-12,7.0
bakjwi,2009,2009-04-30,7.1
i now pronounce you chuck larry,2007,2007-07-12,5.9
planet 51,2009,2009-11-14,6.0
brothers,2009,2009-11-22,7.1
my blueberry nights,2007,2007-05-16,6.6
american gangster,2007,2007-10-19,7.8
whats your number,2011,2011-09-19,6.0
fools gold,2008,2008-02-07,5.7
man of steel,,,7.1
drive,2011,2011-05-20,7.8
everybodys fine,2009,2009-11-03,7.1
princess and the frog,2009,2009-11-15,7.1
in bruges,2008,2008-01-17,7.9
mr brooks,2007,2007-05-22,7.3
wolfman,2010,2010-01-27,5.8
atonement,2007,2007-08-28,7.8
boxtrolls,2014,2014-08-31,6.8
man who knew infinity,2015,2015-09-17,7.2
incredible burt wonderstone,2013,2013-03-08,5.9
dallas buyers club,2013,2013-09-07,7.9
mirrors,2008,2008-08-14,6.1
jack reacher,2012,2012-12-10,7.0
ripd,2013,2013-07-17,5.6
case 39,2009,2009-08-13,6.2
death at a funeral,2007,2007-02-09,7.3
mamma mia,2008,2008-06-30,6.5
scary movie 5,2013,2013-04-11,3.5
star trek,2009,2009-04-06,7.9
be kind rewind,2008,2008-01-20,6.4
epic movie,2007,2007-01-01,2.4
forgetting sarah marshall,2008,2008-03-10,7.1
hills have eyes ii,2007,2007-03-16,5.1
incredible hulk,2008,2008-06-06,6.6
transsiberian,2008,2008-01-18,6.6
appaloosa,2008,2008-09-05,6.7
clash of the titans,2010,2010-03-26,5.8
warcraft,2016,2016-05-24,6.7
its kind of a funny story,2010,2010-07-02,7.1
rendition,2007,2007-09-07,6.8
lars and the real girl,2007,2007-09-16,7.3
midnight meat train,2008,2008-05-16,6.0
angels demons,2009,2009-05-04,6.7
funny games,2007,2007-10-20,6.5
persepolis,2007,2007-05-23,8.0
danish girl,2015,2015-09-05,7.1
jack and jill,2011,2011-11-11,3.3
take me home tonight,2011,2011-03-02,6.3
speed racer,2008,2008-04-28,6.1
love guru,2008,2008-06-20,3.8
bangkok dangerous,2008,2008-08-22,5.3
percy jackson the olympians the lightning thief,2010,2010-02-10,5.9
seven pounds,2008,2008-12-19,7.6
shes out of my league,2010,2010-03-11,6.4
religulous,2008,2008-08-01,7.6
sydney white,2007,2007-09-21,6.2
book thief,2013,2013-10-03,7.5
conan the barbarian,2011,2011-08-11,5.1
interstellar,2014,2014-10-26,8.7
world war z,2013,2013-06-02,7.0
flipped,2010,2010-07-26,7.7
valentines day,2010,2010-02-05,5.7
drillbit taylor,2008,2008-03-20,5.7
ghosts of girlfriends past,2009,2009-04-27,5.8
soloist,2009,2009-04-20,6.7
marley me,2008,2008-12-25,7.0
priest,,,5.7
shooter,2007,2007-03-08,7.1
changeling,2008,2008-05-20,7.8
bucket list,2007,2007-12-16,7.4
dracula untold,2014,2014-09-30,6.2
superbad,2007,2007-08-17,7.6
quantum of solace,2008,2008-10-29,6.6
godzilla,2014,2014-05-08,6.4
spirit,2008,2008-12-25,4.7
underworld rise of the lycans,2009,2009-01-22,6.5
hotel transylvania,2012,2012-09-08,7.0
pet sematary,2019,2019-03-16,5.7
darjeeling limited,,,7.2
step brothers,2008,2008-07-25,6.9
semipro,2008,2008-02-19,5.8
town,2010,2010-09-08,7.5
walk hard the dewey cox story,2007,2007-12-21,6.8
kids are all right,2010,2010-01-25,7.0
brothers bloom,2008,2008-09-09,6.7
cloudy with a chance of meatballs,2009,2009-09-12,6.9
collector,2009,2009-07-31,6.3
last house on the left,2009,2009-03-13,6.5
avengers,2012,2012-04-11,8.0
epic,2013,2013-05-01,6.6
house bunny,2008,2008-08-18,5.5
mummy tomb of the dragon emperor,2008,2008-07-24,5.2
blindness,2008,2008-05-14,6.5
tropa de elite,2007,2007-08-17,8.0
sunshine cleaning,2008,2008-01-18,6.8
trick r treat,2007,2007-12-09,6.8
mr peabody sherman,2014,2014-02-07,6.8
forbidden kingdom,,,6.5
made of honor,2008,2008-04-21,5.8
frostnixon,2008,2008-10-15,7.7
jungle cruise,2021,2021-07-24,6.6
antichrist,2009,2009-05-18,6.5
red state,2011,2011-01-23,6.1
gake no ue no ponyo,2008,2008-07-19,7.6
blind side,2009,2009-11-17,7.6
eat pray love,2010,2010-08-10,5.8
untraceable,2008,2008-01-22,6.2
sanctum,2011,2011-02-03,5.9
snitch,2013,2013-02-21,6.4
mist,2007,2007-05-09,7.1
wedding ringer,,,6.6
burn after reading,2008,2008-08-27,7.0
hurt locker,2008,2008-09-04,7.5
switch,2010,2010-08-16,6.1
bruno,2009,2009-06-25,5.9
saw iv,2007,2007-10-25,5.9
lions for lambs,2007,2007-10-18,6.2
letters to juliet,2010,2010-04-25,6.5
how to train your dragon,2010,2010-03-18,8.1
monsters vs aliens,2009,2009-03-09,6.4
shrek forever after,2010,2010-04-21,6.3
road,2009,2009-09-03,7.2
bride wars,2009,2009-01-05,5.5
hobbit an unexpected journey,2012,2012-11-28,7.8
thing,2011,2011-10-10,6.2
once,2007,2007-01-20,7.8
pineapple express,2008,2008-07-31,6.9
walle,2008,2008-06-21,8.4
boy in the striped pajamas,2008,2008-08-28,7.7
unthinkable,2010,2010-05-26,7.0
doubt,2008,2008-10-30,7.5
legend of tarzan,2016,2016-06-27,6.2
harry potter and the deathly hallows part 1,2010,2010-11-11,7.7
precious,2009,2009-01-16,7.3
rabbit hole,2010,2010-09-13,7.0
taken,2008,2008-02-16,7.8
last airbender,2010,2010-06-30,4.0
silent hill revelation,2012,2012-10-25,4.9
tropic thunder,2008,2008-08-11,7.1
salt,2010,2010-07-19,6.4
source code,2011,2011-03-11,7.5
black swan,2010,2010-09-01,8.0
lakeview terrace,2008,2008-09-15,6.2
green zone,2010,2010-02-26,6.8
amazing spiderman,2012,2012-06-13,6.9
happening,2008,2008-06-10,5.0
alvin and the chipmunks,2007,2007-12-13,5.2
robin hood,2010,2010-05-12,6.6
revolutionary road,2008,2008-12-15,7.3
you dont mess with the zohan,2008,2008-06-06,5.6
bedtime stories,2008,2008-12-24,6.0
high school musical 3 senior year,2008,2008-09-28,4.9
young victoria,2009,2009-03-06,7.2
international,2009,2009-02-05,6.5
ruins,2008,2008-04-02,5.9
sorcerers apprentice,2010,2010-07-06,6.1
fighter,2010,2010-12-06,7.8
hugo,2011,2011-10-10,7.5
city of ember,2008,2008-09-25,6.4
day the earth stood still,2008,2008-12-10,5.5
solomon kane,2009,2009-09-16,6.1
little fockers,2010,2010-12-22,5.5
perfect getaway,2009,2009-08-06,6.5
justice league,2017,2017-10-26,6.1
17 again,2009,2009-03-11,6.4
hitchcock,2012,2012-11-01,6.8
reader,2008,2008-12-10,7.6
fair game,2010,2010-05-20,6.8
sucker punch,2011,2011-03-21,6.0
chronicles of narnia the voyage of the dawn treader,2010,2010-12-02,6.3
nick and norahs infinite playlist,2008,2008-09-06,6.6
adventures of tintin,2011,2011-10-23,7.3
byosoku 5 senchimetoru,2007,2007-03-03,7.5
fantasy island,2020,2020-02-11,4.9
machete,2010,2010-09-01,6.6
valkyrie,2008,2008-12-25,7.1
surrogates,2009,2009-09-24,6.3
sherlock holmes,2009,2009-12-14,7.6
traitor,2008,2008-08-21,6.9
27 dresses,2008,2008-01-09,6.1
dear john,2010,2010-01-24,6.3
green hornet,2011,2011-01-12,5.8
army of the dead,2021,2021-05-14,5.8
hanna,2011,2011-04-07,6.8
wolf of wall street,2013,2013-12-09,8.2
ghost town,2008,2008-09-05,6.7
experiment,2010,2010-07-15,6.4
sex and the city,2008,2008-05-12,5.7
hes just not that into you,2009,2009-01-24,6.4
megamind,2010,2010-10-28,7.3
little things,,,6.3
unhinged,2020,2020-07-16,6.0
zack and miri make a porno,2008,2008-09-07,6.5
iron lady,2011,2011-12-26,6.4
slumdog millionaire,2008,2008-08-30,8.0
knight and day,2010,2010-06-16,6.3
fast furious,2009,2009-03-12,6.5
milk,2008,2008-10-28,7.5
alice in wonderland,2010,2010-02-25,6.4
child 44,2015,2015-04-15,6.4
shazam fury of the gods,,,6.0
bones and all,2022,2022-09-02,6.8
runaways,2010,2010-01-24,6.5
splice,2009,2009-10-06,5.8
serious man,2009,2009-09-12,7.0
selma,2014,2014-11-11,7.5
centurion,2010,2010-02-15,6.3
500 days of summer,2009,2009-01-17,7.7
never back down,2008,2008-03-04,6.5
way back,2010,2010-09-03,7.3
step up 2 the streets,2008,2008-02-14,6.2
wild child,2008,2008-08-14,6.1
argo,2012,2012-08-31,7.7
gemini man,2019,2019-09-25,5.7
father,2020,2020-01-27,8.2
wall street money never sleeps,2010,2010-05-14,6.2
hachi a dogs tale,2009,2009-06-13,8.1
poltergeist,2015,2015-05-18,4.9
lightyear,2022,2022-06-15,6.1
amsterdam,2022,2022-09-18,6.1
rocknrolla,2008,2008-09-04,7.2
descendants,2011,2011-09-02,7.3
what happens in vegas,2008,2008-04-22,6.1
gamer,2009,2009-09-03,5.7
spiral from the book of saw,2021,2021-05-12,5.2
defiance,2008,2008-12-31,7.1
righteous kill,2008,2008-09-10,6.0
eagle,2011,2011-02-09,6.2
suspiria,2018,2018-09-01,6.7
john wick chapter 4,,,7.7
coda,2021,2021-01-29,8.0
book of eli,2010,2010-01-11,6.8
legion,2010,2010-01-21,5.3
bounty hunter,2010,2010-03-11,5.5
proposal,2009,2009-06-01,6.7
legend of hercules,2014,2014-01-06,4.2
silver linings playbook,2012,2012-09-08,7.7
i love you phillip morris,2009,2009-01-18,6.6
year one,2009,2009-06-18,4.9
gi joe the rise of cobra,2009,2009-07-27,5.7
up,2009,2009-05-13,8.3
goosebumps,2015,2015-10-03,6.3
invisible man,2020,2020-02-24,7.1
repo men,2010,2010-01-01,6.3
imaginarium of doctor parnassus,2009,2009-05-22,6.8
life as we know it,2010,2010-10-02,6.5
transformers revenge of the fallen,2009,2009-06-08,6.0
dara iz jasenovca,2020,2020-11-25,8.1
invention of lying,2009,2009-09-14,6.3
eagle eye,2008,2008-09-16,6.6
cloverfield,2008,2008-01-16,7.0
minari,2020,2020-01-26,7.4
talk to me,2022,2022-10-30,7.1
babylon,2022,2022-12-15,7.1
thor love and thunder,2022,2022-06-23,6.2
boyhood,2014,2014-01-19,7.9
halloween kills,2021,2021-09-08,5.5
halloween ends,2022,2022-10-06,5.0
christmas carol,2009,2009-11-03,6.8
water for elephants,2011,2011-04-15,6.9
footloose,2011,2011-10-06,5.8
yes man,2008,2008-12-09,6.8
trial of the chicago 7,2020,2020-09-25,7.7
ghost rider spirit of vengeance,2011,2011-12-11,4.3
dont worry darling,2022,2022-09-05,6.3
meet the spartans,2008,2008-01-24,2.8
skyfall,2012,2012-10-23,7.8
race to witch mountain,2009,2009-03-11,5.7
jonah hex,2010,2010-06-17,4.7
dark shadows,2012,2012-05-09,6.2
my sisters keeper,2009,2009-06-26,7.3
night at the museum battle of the smithsonian,2009,2009-05-14,6.0
couples retreat,2009,2009-10-05,5.5
ice age dawn of the dinosaurs,2009,2009-06-26,6.9
belko experiment,2016,2016-09-10,6.1
quarantine,2008,2008-10-10,5.9
eddie the eagle,2015,2015-12-12,7.3
matrix resurrections,2021,2021-12-16,5.7
missing,2023,2023-01-20,7.1
blended,2014,2014-05-19,6.5
spiderman no way home,2021,2021-12-13,8.2
lone survivor,2013,2013-11-12,7.5
freaky,2020,2020-10-08,6.3
paul,2011,2011-02-07,6.9
darkest hour,2011,2011-12-22,4.9
bad lieutenant port of call new orleans,2009,2009-09-04,6.6
antman and the wasp quantumania,2023,2023-02-15,6.1
old,2021,2021-07-21,5.8
nope,2022,2022-07-18,6.8
dragonball evolution,2009,2009-03-10,2.5
twilight,2008,2008-11-17,5.3
foxcatcher,2014,2014-05-19,7.0
killers,2010,2010-06-01,5.4
tron legacy,2010,2010-11-30,6.8
wrath of man,2021,2021-04-22,7.1
paddington,2014,2014-11-23,7.3
taking of pelham 123,2009,2009-06-04,6.4
northman,2022,2022-04-01,7.0
creed iii,,,6.8
paul blart mall cop,2009,2009-01-06,5.3
jackass 3d,2010,2010-10-11,7.0
felon,2008,2008-07-13,7.4
hangover,2009,2009-05-30,7.7
blue valentine,2010,2010-01-24,7.3
seventh son,2014,2014-12-17,5.5
house of gucci,2021,2021-11-09,6.6
crank high voltage,2009,2009-04-16,6.1
ides of march,2011,2011-08-31,7.1
free state of jones,2016,2016-06-24,6.9
scream,2022,2022-01-12,6.3
wrestler,2008,2008-09-05,7.9
big eyes,2014,2014-11-13,7.0
burlesque,2010,2010-11-24,6.4
morning glory,2010,2010-11-07,6.5
licorice pizza,2021,2021-11-20,7.1
drag me to hell,2009,2009-03-15,6.6
dont look up,2021,2021-12-05,7.2
unbearable weight of massive talent,2022,2022-03-12,7.0
transporter 3,2008,2008-11-26,6.1
informant,2009,2009-09-07,6.5
shutter island,2010,2010-02-13,8.2
boat that rocked,2009,2009-04-01,7.3
jennifers body,2009,2009-09-10,5.5
man som hatar kvinnor,2009,2009-02-27,7.8
saw v,2008,2008-10-23,5.8
green lantern,2011,2011-06-14,5.5
takers,2010,2010-08-04,6.2
duplicity,2009,2009-03-10,6.1
julie julia,2009,2009-07-30,7.0
renfield,,,6.4
sex drive,2008,2008-10-16,6.5
district 9,2009,2009-08-13,7.9
death wish,2018,2018-03-01,6.3
ghost writer,2010,2010-02-12,7.2
unborn,2009,2009-01-09,4.7
lat den ratte komma in,2008,2008-01-26,7.8
frankenweenie,2012,2012-09-20,6.9
ugly truth,2009,2009-07-16,6.4
final destination,2009,2009-08-26,5.1
orphan,2009,2009-07-21,7.0
weie band eine deutsche kindergeschichte,2009,2009-05-21,7.8
beastly,2011,2011-03-03,5.5
public enemies,2009,2009-06-18,7.0
i love you man,2009,2009-03-13,7.0
karate kid,2010,2010-06-07,6.2
