title,release_date_rt,year,genres_rt,rating_rt_audience
darfur now,2007-11-09,2007,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']",73.0
laaga chunari mein daag journey of a woman,2007-10-12,2007,"['Art House & International', 'Drama']",58.0
rails ties,2007-10-26,2007,['Drama'],58.0
mr untouchable,2007-10-26,2007,['Documentary'],54.0
house,2008-11-07,2008,"['Drama', 'Horror', 'Mystery & Suspense']",27.0
canvas,2007-10-12,2007,['Drama'],62.0
skid row,2007-08-24,2007,"['Documentary', 'Special Interest']",55.0
saawariya,2007-11-09,2007,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']",46.0
aaja nachle,2007-11-30,2007,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']",72.0
flawless,2008-03-28,2008,"['Drama', 'Mystery & Suspense']",54.0
what happens in vegas,2008-04-22,2008,"['Comedy', 'Romance']",65.0
appaloosa,2008-10-03,2008,"['Action & Adventure', 'Western']",55.0
good,2008-09-08,2008,['Drama'],32.0
visitor,2008-04-25,2008,['Drama'],84.0
meet bill,2008-04-04,2008,['Comedy'],44.0
married life,2008-03-07,2008,"['Comedy', 'Drama', 'Mystery & Suspense', 'Romance']",36.0
badland,2007-11-30,2007,['Drama'],54.0
oxford murders,2010-08-06,2010,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']",33.0
untraceable,2008-01-25,2008,"['Drama', 'Horror', 'Mystery & Suspense']",52.0
informers,2009-04-24,2009,"['Drama', 'Mystery & Suspense']",18.0
meeting resistance,2007-10-19,2007,"['Documentary', 'Special Interest']",47.0
freshman,1990-07-20,1990,"['Comedy', 'Drama']",61.0
gutayubaljadeul a bloody aria,2006-05-31,2006,"['Art House & International', 'Drama', 'Mystery & Suspense']",40.0
kenny,2008-03-21,2008,['Comedy'],86.0
rocker,2008-06-12,2008,"['Comedy', 'Drama']",46.0
perfect holiday,2007-12-12,2007,"['Kids & Family', 'Romance']",52.0
graine et le mulet the secret of the grain couscous,2007-09-03,2007,"['Art House & International', 'Drama']",76.0
land of the lost,2009-06-05,2009,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']",32.0
rec,2007-11-23,2007,"['Art House & International', 'Horror', 'Special Interest']",82.0
look,2007-12-14,2007,"['Comedy', 'Drama']",56.0
and god created woman,1988-01-01,1988,"['Classics', 'Comedy', 'Drama', 'Romance']",33.0
box,2009-11-06,2009,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",24.0
man in the chair,2007-12-07,2007,"['Comedy', 'Drama']",68.0
undoing,2006-06-24,2006,"['Drama', 'Mystery & Suspense']",26.0
black water,2008-02-19,2008,"['Horror', 'Mystery & Suspense']",39.0
21,2008-03-28,2008,"['Drama', 'Mystery & Suspense']",66.0
duchess of langeais ne touchez pas la hachedont touch the axe,2007-02-15,2007,"['Art House & International', 'Drama', 'Romance']",52.0
ben x,2007-09-26,2007,"['Art House & International', 'Drama', 'Mystery & Suspense']",80.0
body of lies,2008-10-08,2008,"['Drama', 'Mystery & Suspense']",62.0
passengers,2008-10-24,2008,"['Drama', 'Mystery & Suspense']",35.0
grand,2008-01-11,2008,['Comedy'],43.0
hammer,2007-04-26,2007,['Comedy'],90.0
shutter,2008-03-19,2008,"['Horror', 'Mystery & Suspense']",33.0
priest,2011-05-13,2011,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Western']",46.0
broken,,,"['Horror', 'Mystery & Suspense']",25.0
escapist,2008-01-21,2008,"['Art House & International', 'Mystery & Suspense']",63.0
sugar,2008-01-21,2008,"['Drama', 'Sports & Fitness']",80.0
quid pro quo,2008-01-20,2008,"['Drama', 'Mystery & Suspense']",54.0
red,2008-08-08,2008,"['Drama', 'Mystery & Suspense']",68.0
guitar,2008-11-07,2008,['Drama'],55.0
road,2009-11-25,2009,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",68.0
gforce,2009-07-24,2009,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",39.0
other man,2008-12-03,2008,['Drama'],18.0
duchess,2008-09-05,2008,['Drama'],67.0
women,2008-09-04,2008,"['Comedy', 'Drama']",38.0
public enemies,2009-07-01,2009,"['Action & Adventure', 'Drama']",59.0
night and day bam gua nat,2009-10-23,2009,"['Art House & International', 'Drama']",68.0
julia,2009-05-08,2009,"['Art House & International', 'Drama', 'Mystery & Suspense']",67.0
angel and the badman,1947-02-15,1947,"['Classics', 'Western', 'Romance']",67.0
fade to black,2006-10-09,2006,['Mystery & Suspense'],34.0
angel heart,1987-03-06,1987,"['Drama', 'Mystery & Suspense']",81.0
old dogs,2009-11-25,2009,"['Comedy', 'Drama', 'Kids & Family']",44.0
surrogates,2009-09-25,2009,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']",38.0
promotion,2008-03-09,2008,['Comedy'],28.0
notorious,2009-01-16,2009,"['Drama', 'Musical & Performing Arts']",65.0
soul men,2008-11-07,2008,"['Comedy', 'Musical & Performing Arts']",58.0
igor,2008-09-19,2008,"['Animation', 'Comedy', 'Kids & Family']",38.0
matador,2008-03-10,2008,"['Documentary', 'Special Interest']",65.0
auteur,2008-01-01,2008,['Comedy'],41.0
caller,2008-09-26,2008,"['Drama', 'Mystery & Suspense']",19.0
sin nombre,2009-03-20,2009,"['Drama', 'Mystery & Suspense']",89.0
haus der schlafenden schonen house of the sleeping beauties,2008-11-14,2008,"['Art House & International', 'Drama']",17.0
stone angel,2007-09-12,2007,['Drama'],58.0
alvin and the chipmunks the squeakquel,2009-12-23,2009,"['Animation', 'Comedy', 'Kids & Family']",49.0
conte de noel a christmas tale,2008-11-14,2008,"['Art House & International', 'Comedy', 'Drama']",66.0
rebound,2009-02-06,2009,"['Comedy', 'Romance']",46.0
ripple effect,2008-07-11,2008,['Drama'],
1000 times good night,2014-10-24,2014,['Drama'],65.0
harold,2008-07-11,2008,['Comedy'],41.0
push,2009-02-06,2009,"['Mystery & Suspense', 'Science Fiction & Fantasy']",42.0
felon,2008-07-17,2008,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",82.0
scar,2007-05-20,2007,"['Drama', 'Horror', 'Mystery & Suspense']",11.0
unborn,2009-01-09,2009,"['Horror', 'Mystery & Suspense']",30.0
bitch slap,2010-01-08,2010,['Action & Adventure'],29.0
forever strong,2008-09-26,2008,['Drama'],75.0
chocolate,2008-02-06,2008,"['Action & Adventure', 'Art House & International']",73.0
fireproof,2008-09-26,2008,['Drama'],82.0
dostana,2008-11-13,2008,"['Art House & International', 'Comedy']",68.0
garden,2008-06-18,2008,"['Documentary', 'Special Interest']",85.0
splinter,2008-10-31,2008,"['Horror', 'Mystery & Suspense']",49.0
leaves of grass,2010-04-02,2010,"['Comedy', 'Drama', 'Mystery & Suspense']",49.0
rab ne bana di jodi a couple made by god a match made in heaven,2008-12-11,2008,['Romance'],71.0
proposal,2009-06-19,2009,"['Comedy', 'Romance']",67.0
gigantic,2009-04-03,2009,"['Comedy', 'Romance']",34.0
fuel,2008-10-17,2008,"['Documentary', 'Special Interest']",82.0
hush,2009-02-01,2009,['Mystery & Suspense'],37.0
anna karenina,1935-01-01,1935,"['Classics', 'Drama', 'Romance']",69.0
orphan,2009-07-24,2009,"['Drama', 'Horror', 'Mystery & Suspense']",63.0
my sisters keeper,2009-06-26,2009,['Drama'],72.0
hangover,2009-06-05,2009,['Comedy'],84.0
stepfather,2009-10-16,2009,"['Horror', 'Mystery & Suspense']",35.0
okuribito departures,2009-05-29,2009,"['Art House & International', 'Drama']",92.0
boogie summer holiday,2008-05-16,2008,"['Comedy', 'Drama']",67.0
prima ballerina,2009-01-16,2009,"['Art House & International', 'Special Interest']",100.0
season of the witch,2011-01-07,2011,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",30.0
shuttle,2009-03-08,2009,['Mystery & Suspense'],36.0
miss march,2009-03-13,2009,['Comedy'],29.0
american affair,2009-02-27,2009,"['Drama', 'Mystery & Suspense']",41.0
grace,2009-08-14,2009,"['Drama', 'Horror']",31.0
endgame,2009-11-06,2009,"['Drama', 'Mystery & Suspense']",57.0
red baron der rote baron,2008-03-31,2008,"['Action & Adventure', 'Drama', 'Romance']",43.0
objective,2008-04-24,2008,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",32.0
happy tears,2010-02-19,2010,"['Comedy', 'Drama']",21.0
missing person,2009-11-20,2009,"['Comedy', 'Drama', 'Mystery & Suspense']",44.0
polanski polanski unauthorized,2009-01-09,2009,"['Art House & International', 'Drama']",38.0
mammoth mammut,2009-11-20,2009,"['Art House & International', 'Drama']",63.0
crude,2009-09-09,2009,"['Documentary', 'Special Interest']",85.0
messenger,2009-11-13,2009,"['Drama', 'Romance']",75.0
lake mungo,2009-02-07,2009,"['Horror', 'Mystery & Suspense']",62.0
venkovsky ucitel the country teacher,2008-03-20,2008,"['Art House & International', 'Drama']",72.0
apartment,1960-06-15,1960,"['Classics', 'Comedy', 'Drama', 'Romance']",94.0
chatham the golden boys,2009-04-17,2009,"['Comedy', 'Romance']",22.0
ape,1940-09-30,1940,"['Classics', 'Drama', 'Horror', 'Science Fiction & Fantasy']",12.0
fame,2009-09-25,2009,"['Drama', 'Musical & Performing Arts', 'Romance']",36.0
outrage,2009-05-08,2009,['Documentary'],76.0
skin,2009-10-30,2009,"['Art House & International', 'Drama', 'Mystery & Suspense']",79.0
helen,2008-05-01,2008,['Drama'],36.0
bakjwi thirst,2009-04-30,2009,"['Art House & International', 'Drama', 'Horror']",75.0
vengeance fuk sau,2010-08-04,2010,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']",60.0
new world order,2009-05-22,2009,"['Documentary', 'Special Interest']",48.0
april fools day,1986-03-27,1986,['Horror'],47.0
blood the last vampire,2009-07-10,2009,"['Action & Adventure', 'Art House & International', 'Horror', 'Science Fiction & Fantasy']",33.0
shrink,2009-07-24,2009,"['Comedy', 'Drama']",50.0
ong bak 2,2009-10-23,2009,"['Action & Adventure', 'Art House & International']",53.0
bananas,2009-06-20,2009,"['Art House & International', 'Documentary', 'Special Interest']",44.0
last ride,2012-06-29,2012,['Drama'],65.0
tron legacy,2010-12-17,2010,"['Action & Adventure', 'Science Fiction & Fantasy']",63.0
canyon,2009-10-23,2009,"['Drama', 'Mystery & Suspense']",32.0
manson my name is evil,2009-09-14,2009,"['Comedy', 'Drama', 'Science Fiction & Fantasy']",27.0
broken hill,2009-09-11,2009,"['Drama', 'Kids & Family']",61.0
beautiful life,2009-10-02,2009,['Drama'],24.0
suck,2010-08-02,2010,"['Comedy', 'Horror', 'Musical & Performing Arts']",53.0
chloe,2010-03-26,2010,"['Drama', 'Mystery & Suspense']",39.0
armed and dangerous,1986-08-15,1986,['Comedy'],39.0
hole,2012-09-28,2012,"['Kids & Family', 'Mystery & Suspense', 'Science Fiction & Fantasy']",46.0
nobodys perfect,2008-09-08,2008,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Sports & Fitness']",87.0
good soldier,2009-10-09,2009,"['Documentary', 'Drama', 'Special Interest', 'Television']",80.0
high life,2009-09-15,2009,['Comedy'],43.0
around the world in 80 days,1956-10-17,1956,"['Action & Adventure', 'Comedy', 'Drama', 'Kids & Family']",57.0
fall,2009-10-30,2009,"['Drama', 'Mystery & Suspense']",
good heart,2010-04-30,2010,['Drama'],58.0
wonderful world,2010-01-08,2010,"['Drama', 'Romance']",33.0
collapse,2009-11-06,2009,"['Documentary', 'Special Interest']",83.0
three blind mice,,,"['Comedy', 'Drama']",50.0
last song,2010-03-31,2010,"['Drama', 'Kids & Family', 'Romance']",66.0
babies,2010-05-07,2010,"['Documentary', 'Special Interest']",62.0
lottery ticket,2010-08-20,2010,['Comedy'],44.0
going the distance,2010-09-03,2010,"['Comedy', 'Romance']",52.0
life as we know it,2010-10-08,2010,"['Comedy', 'Drama']",61.0
final,2010-01-29,2010,"['Drama', 'Horror', 'Mystery & Suspense']",32.0
frozen,2010-02-05,2010,"['Drama', 'Horror', 'Mystery & Suspense']",46.0
prodigal sons,2010-02-26,2010,"['Documentary', 'Special Interest']",79.0
ghost writer,2010-02-19,2010,"['Drama', 'Mystery & Suspense']",70.0
repo men,2010-03-19,2010,"['Action & Adventure', 'Science Fiction & Fantasy']",41.0
7 days les 7 jours du talion,2010-02-05,2010,"['Art House & International', 'Horror', 'Mystery & Suspense']",68.0
daddy longlegs,2010-05-14,2010,"['Comedy', 'Drama']",52.0
veer,2010-01-22,2010,"['Art House & International', 'Classics', 'Drama']",47.0
winters bone,2010-06-11,2010,['Drama'],76.0
kids are all right,2010-07-09,2010,"['Comedy', 'Drama']",74.0
lucky,2010-12-31,2010,"['Documentary', 'Special Interest']",39.0
high school,2012-06-01,2012,['Comedy'],48.0
stolen,2010-03-05,2010,"['Drama', 'Mystery & Suspense']",39.0
killing jar,2010-03-19,2010,"['Drama', 'Mystery & Suspense']",36.0
