title,release_date_meta,year,rating_metacritic
london,2006-02-10,2006,24
domestic disturbance,2001-11-02,2001,29
shadow hours,2000-07-14,2000,26
soul plane,2004-05-28,2004,33
replacements,2000-08-11,2000,30
vampires kiss,1989-06-02,1989,31
sonny,2002-12-27,2002,31
9 dead gay guys,2003-10-17,2003,21
downloading nancy,2009-06-05,2009,19
punisher,2004-04-16,2004,33
hector and the search for happiness,2014-09-19,2014,29
sweet november,2001-02-16,2001,27
body shots,1999-10-22,1999,36
demolition man,1993-10-08,1993,34
hide and seek,2005-01-28,2005,35
summer of sam,1999-07-02,1999,67
bachelor,1999-11-05,1999,31
snow day,2000-02-11,2000,34
little black book,2004-08-06,2004,36
man,2005-09-09,2005,33
staying alive,1983-07-15,1983,23
what goes up,2009-05-29,2009,22
company man,2001-02-16,2001,18
selfless,2015-07-10,2015,34
loser,2000-07-21,2000,35
vampire in brooklyn,1995-10-27,1995,27
whipped,2000-09-01,2000,10
waking up in reno,2002-10-25,2002,28
let it ride,1989-08-18,1989,33
surviving eden,2006-08-25,2006,30
butterfly effect,2004-01-23,2004,30
elite squad,2008-09-19,2008,33
urban legend,1998-09-25,1998,35
end of days,1999-11-24,1999,33
hunted,2003-03-14,2003,40
detroit rock city,1999-08-13,1999,33
highlander,1986-03-07,1986,24
out cold,2001-11-21,2001,22
autumn in new york,2000-08-11,2000,24
amati girls,2001-01-19,2001,29
hellraiser bloodline,1996-03-08,1996,21
bollywoodhollywood,2003-09-26,2003,35
johnson family vacation,2004-04-07,2004,29
underworld evolution,2006-01-20,2006,36
kingsglaive final fantasy xv,2016-08-19,2016,35
equilibrium,2002-12-06,2002,33
gone in sixty seconds,2000-06-09,2000,35
twin peaks fire walk with me,1992-08-28,1992,28
pootie tang,2001-06-29,2001,31
problem child,1990-07-27,1990,27
gummo,1997-10-17,1997,19
amys orgasm,2002-08-23,2002,36
timecode,2000-04-28,2000,65
therese the story of saint therese of lisieux,2004-10-01,2004,27
million dollar hotel,2001-02-02,2001,25
spies like us,1985-12-06,1985,22
revoloution,2006-04-28,2006,27
warcraft,2016-06-10,2016,32
final destination,2000-03-17,2000,36
dream house,2011-09-30,2011,35
shutter,2008-03-21,2008,37
